1,PIC002.CO,-59.52,2016-06-03 10:44
2,PIC002.D,0,2016-06-03 10:35
3,PIC002.F,0.032,2016-06-03 10:35
4,PIC002.I,0.128,2016-06-03 10:35
5,PIC002.Mode,0.64,2016-06-03 10:35
6,PIC002.P,6.4,2016-06-03 10:35
7,PIC002.PV,-56.32,2016-06-03 10:44
8,PIC002.CO,-58.88,2016-06-03 10:44
9,PIC002.D,0,2016-06-03 10:35
10,PIC002.F,0.032,2016-06-03 10:35
11,PIC002.I,0.128,2016-06-03 10:35
12,PIC002.Mode,0.64,2016-06-03 10:35
13,PIC002.P,6.4,2016-06-03 10:35
14,PIC002.PV,-55.68,2016-06-03 10:44
15,PIC002.CO,-58.24,2016-06-03 10:44
16,PIC002.D,0,2016-06-03 10:35
17,PIC002.F,0.032,2016-06-03 10:35
18,PIC002.I,0.128,2016-06-03 10:35
19,PIC002.Mode,0.64,2016-06-03 10:35
20,PIC002.P,6.4,2016-06-03 10:35
21,PIC002.PV,-55.04,2016-06-03 10:44
22,PIC002.SP,-53.12,2016-06-03 10:44
23,PIC002.CO,-57.6,2016-06-03 10:44
24,PIC002.D,0,2016-06-03 10:35
25,PIC002.F,0.032,2016-06-03 10:35
26,PIC002.I,0.128,2016-06-03 10:35
27,PIC002.Mode,0.64,2016-06-03 10:35
28,PIC002.P,6.4,2016-06-03 10:35
29,PIC002.PV,-54.4,2016-06-03 10:44
30,PIC002.SP,-52.48,2016-06-03 10:44
31,PIC002.CO,-56.96,2016-06-03 10:44
32,PIC002.D,0,2016-06-03 10:35
33,PIC002.F,0.032,2016-06-03 10:35
34,PIC002.I,0.128,2016-06-03 10:35
35,PIC002.Mode,0.64,2016-06-03 10:35
36,PIC002.P,6.4,2016-06-03 10:35
37,PIC002.PV,-53.76,2016-06-03 10:44
38,PIC002.SP,-51.84,2016-06-03 10:44
39,PIC002.CO,-56.32,2016-06-03 10:44
40,PIC002.D,0,2016-06-03 10:35
41,PIC002.F,0.032,2016-06-03 10:35
42,PIC002.I,0.128,2016-06-03 10:35
43,PIC002.Mode,0.64,2016-06-03 10:35
